"","Age","Gender","Country","state","self_employed","family_history","treatment","work_interfere","no_employees","remote_work","tech_company","benefits","care_options","wellness_program","seek_help","anonymity","leave","mental_health_consequence","phys_health_consequence","coworkers","supervisor","mental_health_interview","phys_health_interview","mental_vs_physical","obs_consequence","age_grp"
"565","Age 40","Gender Male","Country Canada","state NA","self_employed No","family_history No","treatment No","work_interfere Never","no_employees 26-100","remote_work No","tech_company Yes","benefits No","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Somewhat difficult","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview No","mental_vs_physical No","obs_consequence No","age_grp 36-40"
"566","Age 28","Gender Male","Country United States","state GA","self_employed No","family_history No","treatment Yes","work_interfere Sometimes","no_employees More than 1000","remote_work No","tech_company Yes","benefits Yes","care_options Yes","wellness_program No","seek_help No","anonymity Yes","leave Somewhat difficult","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor No","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical No","obs_consequence No","age_grp 26-30"
"567","Age 39","Gender Male","Country United States","state OR","self_employed No","family_history No","treatment Yes","work_interfere Sometimes","no_employees 500-1000","remote_work No","tech_company Yes","benefits Yes","care_options Not sure","wellness_program Yes","seek_help Don't know","anonymity Yes","leave Don't know","mental_health_consequence Yes","phys_health_consequence Maybe","coworkers Yes","supervisor Yes","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 36-40"
"568","Age 32","Gender Male","Country United States","state CA","self_employed No","family_history No","treatment Yes","work_interfere Sometimes","no_employees More than 1000","remote_work No","tech_company Yes","benefits Yes","care_options No","wellness_program No","seek_help Yes","anonymity Don't know","leave Somewhat easy","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Some of them","mental_health_interview Maybe","phys_health_interview Yes","mental_vs_physical Don't know","obs_consequence No","age_grp 31-35"
"569","Age 31","Gender Male","Country United States","state CA","self_employed No","family_history Yes","treatment No","work_interfere Sometimes","no_employees More than 1000","remote_work No","tech_company Yes","benefits Yes","care_options Not sure","wellness_program Don't know","seek_help Don't know","anonymity Don't know","leave Somewhat easy","mental_health_consequence Maybe","phys_health_consequence No","coworkers No","supervisor Some of them","mental_health_interview No","phys_health_interview Yes","mental_vs_physical No","obs_consequence No","age_grp 31-35"
"570","Age 38","Gender Male","Country United States","state PA","self_employed No","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees 100-500","remote_work No","tech_company Yes","benefits Don't know","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence Maybe","coworkers Some of them","supervisor No","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 36-40"
"571","Age 23","Gender Male","Country United States","state CA","self_employed No","family_history Yes","treatment Yes","work_interfere Rarely","no_employees 1-5","remote_work No","tech_company Yes","benefits No","care_options Yes","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview No","phys_health_interview No","mental_vs_physical Yes","obs_consequence No","age_grp 22-25"
"572","Age 42","Gender Male","Country United States","state CA","self_employed No","family_history No","treatment Yes","work_interfere Often","no_employees More than 1000","remote_work No","tech_company Yes","benefits Yes","care_options Yes","wellness_program Yes","seek_help Yes","anonymity Yes","leave Somewhat easy","mental_health_consequence Maybe","phys_health_consequence Maybe","coworkers Yes","supervisor Yes","mental_health_interview Maybe","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 41-55"
"573","Age 27","Gender Female","Country United States","state NY","self_employed No","family_history No","treatment No","work_interfere Sometimes","no_employees 500-1000","remote_work No","tech_company Yes","benefits Don't know","care_options Not sure","wellness_program Don't know","seek_help Yes","anonymity Don't know","leave Don't know","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview No","phys_health_interview No","mental_vs_physical Yes","obs_consequence No","age_grp 26-30"
"574","Age 26","Gender Female","Country United States","state MA","self_employed No","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees 26-100","remote_work No","tech_company Yes","benefits Yes","care_options Yes","wellness_program No","seek_help No","anonymity Yes","leave Somewhat difficult","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview No","phys_health_interview No","mental_vs_physical No","obs_consequence Yes","age_grp 26-30"
"575","Age 50","Gender Male","Country United States","state NA","self_employed No","family_history No","treatment No","work_interfere Never","no_employees 26-100","remote_work Yes","tech_company Yes","benefits No","care_options Yes","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence No","phys_health_consequence No","coworkers No","supervisor No","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical No","obs_consequence No","age_grp 41-55"
"576","Age 37","Gender Male","Country United States","state PA","self_employed No","family_history Yes","treatment No","work_interfere Never","no_employees 26-100","remote_work No","tech_company Yes","benefits Don't know","care_options No","wellness_program No","seek_help Don't know","anonymity Don't know","leave Somewhat easy","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview No","phys_health_interview No","mental_vs_physical Yes","obs_consequence No","age_grp 36-40"
"577","Age 23","Gender Male","Country United States","state RI","self_employed No","family_history No","treatment No","work_interfere NA","no_employees 26-100","remote_work No","tech_company Yes","benefits Don't know","care_options No","wellness_program Don't know","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 22-25"
"578","Age 33","Gender Male","Country United States","state MI","self_employed No","family_history Yes","treatment No","work_interfere Sometimes","no_employees 6-25","remote_work Yes","tech_company Yes","benefits Don't know","care_options Not sure","wellness_program No","seek_help No","anonymity Yes","leave Very easy","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview No","phys_health_interview No","mental_vs_physical Yes","obs_consequence No","age_grp 31-35"
"579","Age 29","Gender Male","Country Canada","state NA","self_employed Yes","family_history No","treatment No","work_interfere Never","no_employees 26-100","remote_work Yes","tech_company Yes","benefits Yes","care_options Yes","wellness_program No","seek_help No","anonymity Yes","leave Very difficult","mental_health_consequence Yes","phys_health_consequence No","coworkers Some of them","supervisor No","mental_health_interview No","phys_health_interview Yes","mental_vs_physical No","obs_consequence No","age_grp 26-30"
"580","Age 34","Gender Male","Country United States","state IL","self_employed No","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees 26-100","remote_work Yes","tech_company No","benefits Yes","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 31-35"
"581","Age 41","Gender Male","Country United States","state CA","self_employed No","family_history Yes","treatment Yes","work_interfere Often","no_employees More than 1000","remote_work No","tech_company Yes","benefits Yes","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence Maybe","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence Yes","age_grp 41-55"
"582","Age 50","Gender Male","Country United States","state OR","self_employed No","family_history Yes","treatment No","work_interfere NA","no_employees 100-500","remote_work Yes","tech_company Yes","benefits Don't know","care_options No","wellness_program No","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview Maybe","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 41-55"
"583","Age 29","Gender Male","Country Canada","state NA","self_employed No","family_history No","treatment Yes","work_interfere Never","no_employees More than 1000","remote_work No","tech_company No","benefits Yes","care_options Not sure","wellness_program Yes","seek_help Yes","anonymity Yes","leave Somewhat difficult","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor No","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence Yes","age_grp 26-30"
"584","Age 35","Gender Male","Country United States","state IN","self_employed No","family_history No","treatment No","work_interfere Never","no_employees 6-25","remote_work No","tech_company Yes","benefits No","care_options Yes","wellness_program No","seek_help No","anonymity Yes","leave Very easy","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview Maybe","phys_health_interview Maybe","mental_vs_physical Yes","obs_consequence No","age_grp 31-35"
"585","Age 27","Gender Male","Country Singapore","state NA","self_employed No","family_history No","treatment No","work_interfere Sometimes","no_employees 1-5","remote_work Yes","tech_company Yes","benefits No","care_options No","wellness_program No","seek_help No","anonymity Yes","leave Don't know","mental_health_consequence Yes","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview No","phys_health_interview No","mental_vs_physical No","obs_consequence No","age_grp 26-30"
"586","Age 40","Gender Female","Country United States","state MA","self_employed No","family_history No","treatment No","work_interfere Never","no_employees 26-100","remote_work No","tech_company No","benefits Don't know","care_options Not sure","wellness_program No","seek_help No","anonymity Don't know","leave Somewhat easy","mental_health_consequence Maybe","phys_health_consequence Maybe","coworkers Yes","supervisor Yes","mental_health_interview Maybe","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 36-40"
"587","Age 27","Gender Male","Country Australia","state NA","self_employed No","family_history No","treatment Yes","work_interfere Often","no_employees 100-500","remote_work Yes","tech_company Yes","benefits No","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor No","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical No","obs_consequence Yes","age_grp 26-30"
"588","Age 29","Gender Female","Country United States","state MI","self_employed No","family_history No","treatment No","work_interfere Never","no_employees 26-100","remote_work No","tech_company Yes","benefits Yes","care_options Yes","wellness_program Yes","seek_help No","anonymity Yes","leave Don't know","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence Yes","age_grp 26-30"
"589","Age 31","Gender Male","Country United States","state OH","self_employed No","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees 6-25","remote_work No","tech_company Yes","benefits No","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Somewhat easy","mental_health_consequence Maybe","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 31-35"
"590","Age 43","Gender Male","Country United States","state OH","self_employed No","family_history No","treatment Yes","work_interfere Sometimes","no_employees 6-25","remote_work No","tech_company Yes","benefits No","care_options Yes","wellness_program No","seek_help No","anonymity Don't know","leave Somewhat easy","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 41-55"
"591","Age 34","Gender Male","Country United States","state NH","self_employed No","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees 26-100","remote_work Yes","tech_company Yes","benefits Yes","care_options Yes","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview Yes","mental_vs_physical Don't know","obs_consequence Yes","age_grp 31-35"
"592","Age 29","Gender Male","Country United States","state OH","self_employed No","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees 26-100","remote_work No","tech_company Yes","benefits Don't know","care_options No","wellness_program No","seek_help No","anonymity No","leave Somewhat difficult","mental_health_consequence Yes","phys_health_consequence No","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 26-30"
"593","Age 19","Gender Male","Country Canada","state NA","self_employed No","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees 1-5","remote_work No","tech_company Yes","benefits No","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence Maybe","coworkers Some of them","supervisor No","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp <=21"
"594","Age 41","Gender Male","Country United States","state TN","self_employed No","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees More than 1000","remote_work No","tech_company Yes","benefits Yes","care_options Not sure","wellness_program Yes","seek_help Yes","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview No","mental_vs_physical No","obs_consequence No","age_grp 41-55"
"595","Age 29","Gender Male","Country United States","state OR","self_employed No","family_history Yes","treatment No","work_interfere Never","no_employees 100-500","remote_work No","tech_company Yes","benefits Yes","care_options Yes","wellness_program Yes","seek_help Yes","anonymity Don't know","leave Don't know","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Yes","obs_consequence No","age_grp 26-30"
"596","Age 23","Gender Male","Country United States","state PA","self_employed No","family_history No","treatment No","work_interfere Rarely","no_employees 100-500","remote_work No","tech_company Yes","benefits Yes","care_options Not sure","wellness_program Don't know","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview No","mental_vs_physical Yes","obs_consequence No","age_grp 22-25"
"597","Age 24","Gender Female","Country United States","state NA","self_employed No","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees 100-500","remote_work No","tech_company Yes","benefits Yes","care_options Not sure","wellness_program No","seek_help No","anonymity Don't know","leave Somewhat difficult","mental_health_consequence Yes","phys_health_consequence Maybe","coworkers No","supervisor No","mental_health_interview No","phys_health_interview No","mental_vs_physical No","obs_consequence Yes","age_grp 22-25"
"598","Age 31","Gender Male","Country United States","state NY","self_employed No","family_history No","treatment No","work_interfere NA","no_employees 26-100","remote_work Yes","tech_company Yes","benefits Don't know","care_options No","wellness_program No","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence Yes","phys_health_consequence No","coworkers No","supervisor No","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 31-35"
"599","Age 43","Gender Male","Country United States","state WA","self_employed No","family_history No","treatment No","work_interfere NA","no_employees 500-1000","remote_work Yes","tech_company Yes","benefits Don't know","care_options Not sure","wellness_program Don't know","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview No","phys_health_interview No","mental_vs_physical Yes","obs_consequence No","age_grp 41-55"
"600","Age 31","Gender Male","Country United States","state NY","self_employed No","family_history Yes","treatment Yes","work_interfere Rarely","no_employees 100-500","remote_work No","tech_company Yes","benefits No","care_options No","wellness_program No","seek_help Don't know","anonymity Don't know","leave Somewhat difficult","mental_health_consequence Yes","phys_health_consequence Yes","coworkers Some of them","supervisor No","mental_health_interview No","phys_health_interview No","mental_vs_physical No","obs_consequence Yes","age_grp 31-35"
"601","Age 29","Gender Male","Country United States","state CA","self_employed No","family_history Yes","treatment No","work_interfere Often","no_employees 100-500","remote_work No","tech_company Yes","benefits Yes","care_options Yes","wellness_program Yes","seek_help Yes","anonymity Don't know","leave Don't know","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 26-30"
"602","Age 35","Gender Male","Country United States","state TN","self_employed Yes","family_history Yes","treatment No","work_interfere NA","no_employees 6-25","remote_work Yes","tech_company Yes","benefits No","care_options No","wellness_program Yes","seek_help Yes","anonymity Don't know","leave Very easy","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Yes","obs_consequence No","age_grp 31-35"
"603","Age 33","Gender Male","Country United States","state WI","self_employed No","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees 100-500","remote_work No","tech_company No","benefits Yes","care_options Not sure","wellness_program No","seek_help No","anonymity Yes","leave Somewhat difficult","mental_health_consequence Yes","phys_health_consequence Yes","coworkers No","supervisor No","mental_health_interview No","phys_health_interview No","mental_vs_physical No","obs_consequence No","age_grp 31-35"
"604","Age 30","Gender Female","Country United States","state WI","self_employed Yes","family_history Yes","treatment Yes","work_interfere Often","no_employees 1-5","remote_work Yes","tech_company No","benefits No","care_options Yes","wellness_program No","seek_help Yes","anonymity Yes","leave Somewhat difficult","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview No","phys_health_interview No","mental_vs_physical Yes","obs_consequence No","age_grp 26-30"
"605","Age 27","Gender Male","Country United States","state PA","self_employed No","family_history No","treatment No","work_interfere NA","no_employees More than 1000","remote_work No","tech_company Yes","benefits Yes","care_options Not sure","wellness_program Don't know","seek_help Don't know","anonymity Yes","leave Don't know","mental_health_consequence Maybe","phys_health_consequence Maybe","coworkers No","supervisor No","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical No","obs_consequence No","age_grp 26-30"
"606","Age 32","Gender Male","Country United States","state MI","self_employed No","family_history No","treatment No","work_interfere Sometimes","no_employees 100-500","remote_work No","tech_company Yes","benefits No","care_options Yes","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence Maybe","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview No","mental_vs_physical No","obs_consequence No","age_grp 31-35"
"607","Age 50","Gender Male","Country United States","state WY","self_employed No","family_history No","treatment No","work_interfere Sometimes","no_employees 1-5","remote_work Yes","tech_company Yes","benefits Don't know","care_options No","wellness_program No","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence Yes","phys_health_consequence Maybe","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 41-55"
"608","Age 24","Gender Male","Country United States","state KY","self_employed No","family_history No","treatment No","work_interfere Never","no_employees 26-100","remote_work No","tech_company No","benefits Don't know","care_options Not sure","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence Yes","coworkers Some of them","supervisor No","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical No","obs_consequence No","age_grp 22-25"
"609","Age 27","Gender Male","Country United States","state NY","self_employed No","family_history No","treatment No","work_interfere NA","no_employees 26-100","remote_work No","tech_company Yes","benefits Don't know","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Yes","obs_consequence No","age_grp 26-30"
"610","Age 27","Gender Male","Country Australia","state NA","self_employed No","family_history No","treatment No","work_interfere Never","no_employees 1-5","remote_work Yes","tech_company Yes","benefits No","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence Yes","phys_health_consequence No","coworkers No","supervisor No","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 26-30"
"611","Age 32","Gender Male","Country United States","state TX","self_employed No","family_history No","treatment Yes","work_interfere Sometimes","no_employees 6-25","remote_work No","tech_company Yes","benefits No","care_options Yes","wellness_program No","seek_help No","anonymity Yes","leave Somewhat easy","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview Maybe","phys_health_interview Maybe","mental_vs_physical Yes","obs_consequence No","age_grp 31-35"
"612","Age 42","Gender Male","Country United States","state WI","self_employed Yes","family_history No","treatment No","work_interfere Rarely","no_employees 6-25","remote_work Yes","tech_company No","benefits No","care_options Yes","wellness_program No","seek_help No","anonymity Don't know","leave Very easy","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview Maybe","phys_health_interview Maybe","mental_vs_physical Yes","obs_consequence No","age_grp 41-55"
"613","Age 37","Gender Male","Country United States","state WA","self_employed No","family_history No","treatment No","work_interfere Often","no_employees More than 1000","remote_work No","tech_company No","benefits Don't know","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor No","mental_health_interview No","phys_health_interview No","mental_vs_physical No","obs_consequence No","age_grp 36-40"
"614","Age 30","Gender Male","Country Singapore","state NA","self_employed No","family_history No","treatment No","work_interfere Sometimes","no_employees 26-100","remote_work No","tech_company Yes","benefits Don't know","care_options Not sure","wellness_program No","seek_help No","anonymity Don't know","leave Somewhat easy","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor No","mental_health_interview No","phys_health_interview Yes","mental_vs_physical No","obs_consequence Yes","age_grp 26-30"
"615","Age 29","Gender Male","Country United States","state WA","self_employed No","family_history No","treatment No","work_interfere Rarely","no_employees More than 1000","remote_work No","tech_company Yes","benefits Yes","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Very easy","mental_health_consequence Yes","phys_health_consequence Maybe","coworkers Some of them","supervisor No","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 26-30"
"616","Age 30","Gender Male","Country United States","state GA","self_employed Yes","family_history No","treatment Yes","work_interfere Often","no_employees 6-25","remote_work Yes","tech_company Yes","benefits No","care_options Not sure","wellness_program No","seek_help Yes","anonymity Don't know","leave Somewhat difficult","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Yes","obs_consequence No","age_grp 26-30"
"617","Age 35","Gender Male","Country United States","state MI","self_employed No","family_history No","treatment No","work_interfere Never","no_employees 26-100","remote_work No","tech_company Yes","benefits Yes","care_options No","wellness_program Yes","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Some of them","mental_health_interview Maybe","phys_health_interview Maybe","mental_vs_physical Yes","obs_consequence No","age_grp 31-35"
"618","Age 35","Gender Male","Country United States","state MD","self_employed No","family_history Yes","treatment Yes","work_interfere Rarely","no_employees 100-500","remote_work Yes","tech_company No","benefits Yes","care_options Yes","wellness_program No","seek_help No","anonymity Yes","leave Very difficult","mental_health_consequence Yes","phys_health_consequence No","coworkers Some of them","supervisor No","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical No","obs_consequence No","age_grp 31-35"
"619","Age 38","Gender Male","Country Netherlands","state NA","self_employed No","family_history Yes","treatment No","work_interfere Often","no_employees 26-100","remote_work Yes","tech_company Yes","benefits No","care_options Not sure","wellness_program No","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence Maybe","coworkers Some of them","supervisor Some of them","mental_health_interview Maybe","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 36-40"
"620","Age 22","Gender Male","Country United Kingdom","state NA","self_employed No","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees 100-500","remote_work No","tech_company Yes","benefits Yes","care_options Yes","wellness_program No","seek_help No","anonymity Yes","leave Very easy","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview Maybe","phys_health_interview Yes","mental_vs_physical Yes","obs_consequence No","age_grp 22-25"
"621","Age 24","Gender Male","Country Germany","state NA","self_employed No","family_history Yes","treatment No","work_interfere Sometimes","no_employees 100-500","remote_work No","tech_company Yes","benefits Don't know","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Somewhat easy","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 22-25"
"622","Age 22","Gender Male","Country Netherlands","state NA","self_employed Yes","family_history No","treatment No","work_interfere Never","no_employees 1-5","remote_work No","tech_company Yes","benefits Don't know","care_options Not sure","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence No","phys_health_consequence Maybe","coworkers Some of them","supervisor Yes","mental_health_interview Maybe","phys_health_interview Yes","mental_vs_physical No","obs_consequence Yes","age_grp 22-25"
"623","Age 31","Gender Female","Country United States","state WA","self_employed No","family_history No","treatment Yes","work_interfere Often","no_employees 26-100","remote_work Yes","tech_company Yes","benefits Yes","care_options Yes","wellness_program No","seek_help No","anonymity Don't know","leave Very easy","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview Yes","mental_vs_physical Don't know","obs_consequence No","age_grp 31-35"
"624","Age 23","Gender Female","Country United States","state CA","self_employed No","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees More than 1000","remote_work No","tech_company Yes","benefits Yes","care_options Yes","wellness_program Yes","seek_help Yes","anonymity Yes","leave Somewhat easy","mental_health_consequence Yes","phys_health_consequence Maybe","coworkers No","supervisor No","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 22-25"
"625","Age 31","Gender Female","Country United States","state OR","self_employed No","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees 100-500","remote_work No","tech_company Yes","benefits Don't know","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 31-35"
"626","Age 28","Gender Female","Country United States","state CA","self_employed No","family_history Yes","treatment Yes","work_interfere Rarely","no_employees 500-1000","remote_work No","tech_company Yes","benefits Yes","care_options Yes","wellness_program Yes","seek_help Yes","anonymity Don't know","leave Somewhat difficult","mental_health_consequence Maybe","phys_health_consequence No","coworkers No","supervisor Some of them","mental_health_interview No","phys_health_interview No","mental_vs_physical No","obs_consequence No","age_grp 26-30"
"627","Age 37","Gender Male","Country Canada","state NA","self_employed No","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees 100-500","remote_work No","tech_company No","benefits Yes","care_options Yes","wellness_program No","seek_help No","anonymity Don't know","leave Somewhat difficult","mental_health_consequence Yes","phys_health_consequence Maybe","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical No","obs_consequence No","age_grp 36-40"
"628","Age 34","Gender Male","Country United States","state CA","self_employed Yes","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees 6-25","remote_work No","tech_company Yes","benefits No","care_options Yes","wellness_program No","seek_help No","anonymity Yes","leave Somewhat easy","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview No","mental_vs_physical No","obs_consequence No","age_grp 31-35"
"629","Age 32","Gender Male","Country Canada","state NA","self_employed No","family_history No","treatment No","work_interfere Sometimes","no_employees 26-100","remote_work Yes","tech_company Yes","benefits No","care_options Yes","wellness_program No","seek_help No","anonymity Yes","leave Very difficult","mental_health_consequence Yes","phys_health_consequence Maybe","coworkers Some of them","supervisor No","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical No","obs_consequence Yes","age_grp 31-35"
"630","Age 28","Gender Male","Country United States","state MI","self_employed No","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees 26-100","remote_work Yes","tech_company Yes","benefits Yes","care_options Not sure","wellness_program No","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence Yes","phys_health_consequence No","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence Yes","age_grp 26-30"
